rank,state,lat,lon
1,AK,64.7316,-152.2683
2,AL,32.7990,-86.8073
3,AR,34.9513,-92.3809
5,AZ,33.7712,-111.3877
6,CA,36.1700,-119.7462
7,CO,39.0646,-105.3272
8,CT,41.5834,-72.7622
9,DC,38.0964,-77.0262
10,DE,39.3498,-75.5148
11,FL,27.8333,-81.7170
12,GA,32.9866,-83.6487
13,HI,21.1098,-157.5311
14,IA,42.0046,-93.2140
15,ID,44.2394,-114.5103
16,IL,40.3363,-89.0022
17,IN,39.8647,-86.2604
18,KS,38.5111,-97.8005
19,KY,37.6690,-84.6514
20,LA,31.1801,-91.8749
21,MA,42.2373,-71.5314
22,MD,39.0724,-76.7902
23,MI,43.3504,-84.5603
24,ME,44.6074,-69.3977
25,MN,45.7326,-93.9196
26,MO,38.4623,-92.3020
28,MS,32.7673,-89.6812
29,MT,46.9048,-110.3261
30,NC,35.6411,-79.8431
31,ND,47.5362,-99.7930
32,NE,41.1289,-98.2883
33,NH,43.4108,-71.5653
34,NJ,40.3140,-74.5089
35,NM,34.8375,-106.2371
36,NV,38.4199,-117.1219
37,NY,42.1497,-74.9384
38,OH,40.3736,-82.7755
39,OK,35.5376,-96.9247
40,OR,44.5672,-122.1269
41,PA,40.5773,-77.2640
43,RI,41.6772,-71.5101
44,SC,33.8191,-80.9066
45,SD,44.2853,-99.4632
46,TN,35.7449,-86.7489
47,TX,31.1060,-98.6475
48,UT,40.1135,-111.8535
49,VA,37.7680,-78.2057
51,VT,44.0407,-72.7093
52,WA,47.3917,-120.5708
53,WI,44.2563,-89.6385
54,WY,42.7475,-107.2085
55,WV,38.4680,-80.9696
